Phenomenon,GPT-2smallGroNLP,GPT-2large,Llama13B,Llama13Bchat,GEITje7B,GEITje7Bchat,GEITjeultraDPO,BERTje,RobBERT,RobBERT2023large,XLM-RoBERTa,PhenomenonAverage,5-gram
Anaphor-agreement,0.88,0.92,0.77,0.39,0.86,0.84,0.84,0.92,0.93,0.98,0.86,0.83,0.71
Binding,0.97,0.96,0.88,0.50,0.88,0.94,0.81,0.97,0.95,1.00,0.94,0.89,0.89
Argument-Structure,0.84,0.92,0.88,0.82,0.93,0.93,0.93,0.94,0.91,0.89,0.85,0.89,0.59
Complementive,0.80,0.94,0.82,0.76,0.89,0.89,0.93,0.92,0.93,0.91,0.81,0.87,0.78
Passive,0.71,0.91,0.81,0.70,0.82,0.83,0.84,0.93,0.90,0.91,0.89,0.84,0.85
Infinitival-Argument-Clause,0.83,0.93,0.84,0.70,0.92,0.92,0.93,0.95,0.92,0.85,0.74,0.87,0.69
Finite-Argument-Clause,0.90,0.80,0.83,0.74,0.87,0.84,0.82,0.83,0.77,0.83,0.69,0.81,0.88
Auxiliaries,0.95,1.,0.96,0.94,1.,1.,1.,0.97,0.93,0.87,0.86,0.95,0.77
Adverbial-Modification,0.96,1.00,0.96,0.92,0.99,1.,0.99,0.99,0.99,0.99,0.97,0.98,0.86
Verb-Second,0.94,1.00,1.00,0.91,1.,1.,1.,0.99,1.,0.99,0.89,0.95,0.59
Wh-Movement,0.62,0.88,0.84,0.74,0.88,0.88,0.90,0.84,0.88,0.80,0.70,0.81,0.55
Wh-Movement-Restrictions,0.72,0.87,0.80,0.66,0.87,0.87,0.90,0.84,0.90,0.88,0.85,0.83,0.70
Relativization,0.61,0.82,0.93,0.91,0.96,0.96,0.95,0.94,0.95,0.93,0.92,0.90,0.61
Topicalization,0.86,0.92,0.91,0.82,0.87,0.84,0.87,0.96,0.99,0.94,0.91,0.90,0.67
Parasitic-Gaps,0.59,0.80,0.64,0.53,0.66,0.72,0.68,0.87,0.76,0.79,0.71,0.70,0.49
R-Words,0.99,1.,0.98,0.97,1.,1.00,1.,0.98,0.91,0.96,0.97,0.98,0.97
Nominalization,0.89,0.96,0.95,0.94,0.94,0.95,0.97,0.91,0.94,0.96,0.87,0.93,0.95
Determiners,0.87,0.98,0.85,0.74,0.98,1.,0.95,0.96,0.93,0.88,0.82,0.90,0.69
Quantifiers,0.83,0.95,0.66,0.76,0.97,0.70,0.92,0.86,0.92,0.89,0.82,0.84,0.77
Adpositional-Phrases,1.,1.00,0.98,0.96,1.00,1.,1.,1.,1.,1.,0.99,0.99,0.95
Crossing-Dependencies,0.93,1.,1.,0.98,1.,1.,1.,1.,1.,1.,0.92,0.98,0.42
Extraposition,0.96,0.99,0.98,0.87,0.99,0.99,0.99,0.98,0.97,0.93,0.89,0.96,0.66
Model-Average,0.82,0.92,0.86,0.77,0.91,0.90,0.91,0.92,0.90,0.89,0.83,0.87,0.71
Training-data,13GB,33B,33B,168K,10B,20K,240M,56M,2.4B,39GB,7GB,2.5TB,
