Model,AspectAgr,Dative-Obj,Ergativity,Exper-Sub,Honorific,N-JAgr,Oblique,PR,SV-GNP,order_variation,Average
gemma-3-1b-pt,100.00,98.62,87.36,79.01,73.20,93.00,87.34,79.07,87.60,82.18,86.74
gemma-3-4b-pt,100.00,98.24,90.15,84.20,73.86,93.00,85.58,81.06,88.91,86.14,88.11
gemma-3-12b-pt,100.00,98.24,93.41,94.07,84.97,96.50,90.20,85.71,92.58,91.09,92.68
gemma-3-27b-pt,100.00,99.62,94.94,84.20,84.31,97.00,92.75,85.38,94.89,91.09,92.42
gemma-3-1b-it,99.00,89.81,70.02,62.72,55.56,76.50,70.07,57.48,70.44,63.37,71.50
gemma-3-4b-it,99.75,92.65,86.62,56.54,74.51,77.00,76.78,74.42,82.19,68.32,78.88
gemma-3-12b-it,100.00,95.16,91.72,76.05,79.74,89.50,79.83,78.74,89.99,78.22,85.89
gemma-3-27b-it,100.00,94.40,93.98,56.05,84.97,92.50,85.05,85.38,92.55,83.17,86.81
Llama-3-8B,100.00,92.60,91.45,98.27,93.46,89.50,85.14,90.03,76.60,90.10,90.71
Llama-3-70B,100.00,96.43,96.38,95.80,98.04,94.00,92.77,92.69,87.13,94.06,94.73
Alif-1.0-8B-Instruct,100.00,91.26,93.61,98.02,98.04,89.00,90.73,91.69,83.13,97.03,93.25
granite-3.3-8b-base,97.51,88.83,88.67,91.11,90.20,85.00,84.83,82.72,72.48,93.07,87.44
granite-3.3-2b-base,99.25,89.59,82.07,77.04,83.66,83.00,82.25,80.07,64.78,85.15,82.69
granite-3.3-8b-instruct,98.75,89.21,84.14,60.74,94.77,80.50,77.92,74.09,71.06,91.09,82.23
granite-3.3-2b-instruct,99.00,80.53,80.18,92.10,88.89,74.00,74.04,78.41,61.07,76.24,80.45
DeepSeek1,100.00,88.20,93.46,96.30,99.35,90.50,91.66,88.70,86.33,90.10,92.46
bloomz-7b1-p3,99.25,96.28,90.85,67.65,84.31,87.50,84.91,81.06,84.58,85.15,86.15
Bert2,70.82,75.44,79.91,82.02,80.97,81.36,80.95,79.50,69.73,90.10,78.77
mt5-small,27.43,29.77,54.75,60.62,36.60,46.50,60.67,79.40,50.79,60.40,50.69
mt5-large,71.82,58.12,58.14,79.75,51.50,56.48,63.56,73.52,58.30,62.38,63.36
Human,100,94.27,97.71,93.89,94.17,97.29,95.46,95.63,95.68,98.754,
