Phenomena/LMs,AraBERT,AraBERTv01,AraBERTv02-based,AraBERTv02-large,AraBERTv2-based,AraBERTv2-large,ArabicBERT,GigaBERT,ARBERT,MARBERT,QARiB,CAMeLBERT-MSA,CAMeLBERT-DA,CAMeLBERT-CA,CAMeLBERT-Mix
Variant,MSA,MSA,MSA,MSA,MSA,MSA,MSA/DA,MSA,MSA,MSA/DA,,MSA,DA,CA,MSA/DA/CA
Size (GB),23,23,77,77,77,77,95,-,61,128,,107,45,6,167
Overall accuracy,47.7,51.3,52.0,51.1,49.7,53.2,52.5,55.1,53.2,54.4,49.2,51.0,49.1,55.1,49.1
SV-G,55.3,44,46,47.3,65.3,58,48.6,60,41.3,39.3,42.6,52,47.3,76.5,42.6
SV-N,66.5,60.5,58.5,63,57,55.5,64.5,76,59.5,62,72,63,57.5,66,63.5
SP-N,56.9,43,34.4,45,43.7,54.9,54.9,54.3,39,45.6,45,50.3,41.7,56.9,39
SP-G,56.2,42.7,44.7,41.2,46.7,42.7,46.7,46.2,53.7,46.2,36.6,44.2,44.2,48.2,37.6
Adjective Modification: 5. Rational,49.3,51.3,46,45.3,46,50,54,51.3,48,49.3,39.3,47.3,44,56,37
Adjective Modification: 6. Irrational,26,59,73,63,43,51,56,64,66,75,49,51,51,56,54
Idafa construction: 7. Adjective agrees with head noun in case,58,57,41,47,52,51,56,51,48,47,50,48,39,56,53
Idafa construction: 8. Adjective agrees with second noun in definiteness,49.3,44,53.3,53.3,33.3,45.3,45.3,50.6,45.3,41.3,46,50.6,56,54.6,54.6
Idafa construction: 9. Adjective agrees with first noun in gender,56,45.3,42.6,53.3,54.6,58.6,44,50.6,56,46.6,40,57.3,45.3,44,49.3
