model,O-S_DO_V_AUX,basque-DO-S_IO_DO_V_AUX,basque-IO-IO_S_V_AUX,basque-IO-S_IO_DO_V_AUX,basque-S-IO_S_V_AUX,basque-S-S_DO_V_AUX,basque-S-S_IO_DO_V_AUX,basque-S-S_V_AUX,hindi-S_ne_O_V,hindi-S_ne_PossPRN_O_V,hindi-S_ne_PossPRN_PossN_O_V,hindi-S_O_V,hindi-S_PossPRN_O_V,hindi-S_PossPRN_PossN_O_V,swahili-N_of_Poss_D_A_V,swahili-N_of_Poss_D_AP_ni_AN,swahili-N_of_Poss_D_AP_V_ni_AN,swahili-N_of_Poss_D_ni_A,swahili-N_of_Poss_D_V,swahili-N_of_Poss_V
human,1.000,0.920,0.980,0.820,0.860,0.700,0.920,0.860,0.840,0.920,0.820,0.820,0.880,0.740,0.740,0.780,0.640,0.660,0.780,0.860
mGPT-1.3B,0.996,0.978,0.910,0.973,0.991,0.897,0.750,0.913,0.956,0.966,0.974,0.831,0.914,0.933,0.408,0.564,0.527,0.594,0.444,0.668
mGPT-13B,0.991,0.988,0.794,0.994,0.999,0.861,0.916,0.836,0.950,0.929,0.944,0.805,0.922,0.938,0.481,0.594,0.542,0.610,0.494,0.709
bloom-560m,0.868,0.145,0.123,0.531,0.323,0.687,0.519,0.744,0.875,0.783,0.868,0.841,0.855,0.886,0.444,0.482,0.457,0.502,0.378,0.487
bloom-1b1,0.945,0.534,0.093,0.794,0.168,0.692,0.669,0.827,0.882,0.916,0.918,0.818,0.867,0.897,0.410,0.514,0.502,0.527,0.341,0.444
bloom-1b7,0.918,0.644,0.326,0.773,0.656,0.688,0.643,0.712,0.902,0.903,0.924,0.859,0.889,0.898,0.395,0.452,0.468,0.498,0.345,0.494
bloom-3b,0.981,0.754,0.452,0.836,0.753,0.853,0.773,0.882,0.858,0.913,0.917,0.829,0.896,0.904,0.378,0.481,0.463,0.539,0.339,0.494
bloom-7b1,0.981,0.920,0.724,0.932,0.928,0.869,0.864,0.801,0.869,0.904,0.921,0.839,0.901,0.887,0.400,0.501,0.471,0.511,0.405,0.510
bloom,0.997,0.983,0.914,0.993,0.995,0.923,0.908,0.922,0.905,0.942,0.942,0.908,0.941,0.919,0.416,0.523,0.484,0.548,0.432,0.552
xglm-564M,0.932,0.822,0.799,0.757,0.880,0.804,0.506,0.872,0.700,0.781,0.829,0.893,0.930,0.933,0.351,0.469,0.455,0.480,0.364,0.604
xglm-1.7B,0.955,0.917,0.905,0.903,0.967,0.884,0.654,0.837,0.829,0.852,0.877,0.943,0.961,0.958,0.461,0.531,0.514,0.558,0.547,0.689
xglm-2.9B,0.977,0.936,0.945,0.858,0.980,0.912,0.823,0.827,0.808,0.848,0.863,0.933,0.962,0.957,0.469,0.566,0.518,0.589,0.522,0.722
xglm-4.5B,0.607,0.548,0.413,0.285,0.550,0.473,0.517,0.582,0.742,0.786,0.811,0.881,0.926,0.946,0.387,0.502,0.477,0.525,0.412,0.601
xglm-7.5B,0.966,0.928,0.931,0.932,0.998,0.885,0.796,0.870,0.826,0.828,0.827,0.940,0.956,0.963,0.527,0.586,0.529,0.595,0.607,0.764
mbert,0.754,0.662,0.358,0.282,0.497,0.558,0.566,0.766,0.361,0.397,0.429,0.811,0.807,0.832,0.458,0.554,0.538,0.561,0.451,0.532
xlmr-base,0.661,0.596,0.597,0.465,0.640,0.659,0.384,0.728,0.764,0.831,0.836,0.864,0.854,0.874,0.488,0.518,0.504,0.513,0.495,0.570
xlmr-large,0.718,0.624,0.648,0.508,0.523,0.672,0.500,0.622,0.919,0.925,0.929,0.831,0.846,0.845,0.414,0.480,0.511,0.492,0.442,0.585
xlmr-xl,0.850,0.656,0.563,0.659,0.669,0.757,0.525,0.777,0.910,0.934,0.946,0.896,0.904,0.869,0.503,0.568,0.552,0.558,0.478,0.561
xlmr-xxl,0.824,0.743,0.655,0.647,0.647,0.720,0.691,0.687,0.921,0.955,0.949,0.929,0.902,0.931,0.482,0.527,0.495,0.501,0.495,0.505
Models,0.981,0.920,0.724,0.932,0.928,0.869,0.864,0.801,0.869,0.904,0.921,0.839,0.901,0.887,0.400,0.501,0.471,0.511,0.405,0.510
