Test Suite,ItalianBERT,UmBERTo,ItalianRoBERTa,GePpeTto,BERTino,DistilmBERT,mBERT,XLM-R,XGLM,LLaMA-3.2,Bloom,Salamandra
Art-Noun,0.96,0.50,0.74,0.98,0.99,0.71,0.65,0.73,0.75,0.77,0.72,0.86
Poss-Noun,0.98,0.96,0.88,1.00,1.00,0.83,0.72,0.85,0.82,0.94,0.75,1.00
Noun-Adj,1.00,0.99,0.87,0.99,0.99,0.84,0.90,0.87,0.99,0.99,0.93,1.00
Pred Attr,0.95,0.93,0.89,0.97,0.98,0.91,0.89,0.89,0.93,0.95,0.87,0.99
Unacc Part,0.87,0.76,0.80,0.89,0.89,0.83,0.86,0.80,0.86,0.89,0.81,0.90
Pred Compl,0.91,0.90,0.84,0.91,0.92,0.77,0.82,0.84,0.90,0.88,0.84,0.97
Pred Attr Adv,0.90,0.85,0.87,0.83,0.97,0.83,0.92,0.87,0.85,0.88,0.76,0.96
Unacc Part Adv,0.95,0.85,0.90,0.95,0.98,0.78,0.96,0.90,0.84,0.84,0.74,0.93
Pred Compl Adv,0.53,0.58,0.63,0.42,0.52,0.39,0.52,0.63,0.56,0.62,0.54,0.80
Subj-Verb Basic,0.93,0.61,0.84,0.88,0.91,0.55,0.53,0.84,0.81,0.69,0.70,0.92
Subj-Verb SRC,0.93,0.72,0.88,0.92,0.92,0.80,0.94,0.88,0.79,0.83,0.75,0.94
Subj-Verb ORC,0.90,0.44,0.87,0.84,0.87,0.67,0.93,0.87,0.62,0.66,0.59,0.76
