Test Suite,BERTimbau,Tucano,GPorTuguese-2,distilBERTimbau,DistilmBERT,mBERT,XLM-R,XGLM,LLaMA-3.2,Bloom,Salamandra
Art-Noun,0.95,0.94,0.95,0.48,0.79,0.58,0.67,0.84,0.64,0.87,0.92
Poss-Noun,0.98,0.98,0.95,0.51,0.89,0.91,0.90,0.96,0.95,0.97,0.98
Noun-Adj,0.97,0.97,0.91,0.61,0.79,0.92,0.87,0.96,0.96,0.98,0.97
Pred Attr,0.99,0.99,0.92,0.51,0.90,0.90,0.90,0.98,0.93,1.00,1.00
Pass Part,0.98,0.98,0.91,0.49,0.73,0.82,0.94,0.97,0.90,0.99,1.00
Pred Compl,0.94,0.94,0.84,0.46,0.84,0.82,0.81,0.92,0.88,0.94,0.95
Pred Attr Adv-SRC,0.93,0.88,0.72,0.48,0.72,0.82,0.87,0.93,0.81,0.98,0.98
Pred Attr Adv-ORC,0.97,0.91,0.72,0.54,0.79,0.86,0.89,0.91,0.79,0.99,0.98
Pass Part Adv,0.98,0.90,0.78,0.48,0.66,0.89,0.97,0.95,0.89,0.97,0.98
Pred Compl Adv,0.68,0.69,0.44,0.47,0.43,0.53,0.63,0.56,0.68,0.66,0.74
Subj-Verb Basic,0.97,0.98,0.87,0.63,0.70,0.75,0.88,0.94,0.89,0.99,0.98
Subj-Verb SRC,0.97,0.81,0.83,0.51,0.80,0.85,0.78,0.78,0.83,0.91,0.87
Subj-Verb ORC,0.97,0.70,0.70,0.50,0.62,0.82,0.80,0.73,0.80,0.96,0.93
