Test Suite,RuBERT,RuRoBERTa,GPT2-Russian,distilmBERT,RuDistilmBERT,mBERT,XLM-R,XGLM,LLaMA-3.2,Bloom,Salamandra
Det-Noun Gen,0.95,0.90,0.98,0.78,0.78,0.86,0.94,0.96,0.86,0.89,0.96
Det-Noun Instr,0.92,0.88,0.91,0.88,0.88,0.94,0.88,0.97,0.94,0.87,0.92
Det-Noun Prep,0.84,0.82,0.95,0.67,0.67,0.73,0.81,0.91,0.88,0.72,0.90
Noun-Adj Nom,0.95,0.96,0.99,0.84,0.85,0.88,0.92,0.94,0.95,0.87,0.98
Noun-Adj Acc,0.95,0.96,0.95,0.87,0.86,0.87,0.92,0.96,0.95,0.82,0.93
Noun-Adj Dat,0.94,0.92,0.95,0.73,0.74,0.81,0.94,0.89,0.91,0.85,0.92
Pred Attr,0.95,0.99,0.99,0.69,0.72,0.86,0.83,0.92,0.91,0.84,0.99
Pred Compl,0.89,0.97,0.96,0.75,0.75,0.82,0.77,0.94,0.93,0.82,0.98
Pred Attr Adv,0.95,0.94,0.90,0.61,0.62,0.84,0.86,0.86,0.86,0.65,0.94
Pred Compl Adv,0.48,0.67,0.50,0.53,0.53,0.54,0.51,0.51,0.52,0.49,0.52
Subj-Verb Basic,0.91,0.98,0.98,0.58,0.58,0.66,0.95,0.97,0.97,0.92,0.98
Subj-Verb Past,0.97,0.96,0.96,0.79,0.80,0.89,0.93,0.91,0.89,0.85,0.98
Subj-Verb Past Adv,0.93,0.86,0.88,0.67,0.67,0.83,0.86,0.77,0.65,0.59,0.92
