Test Suite,BETO,RoBERTa-BNE,GPT2-Spanish,DistilBETO,alBETO,DistilmBERT,mBERT,XLM-R,XGLM,LLaMA-3.2,Bloom,Salamandra
Art-Noun,0.98,0.95,1,0.94,0.97,0.94,0.84,0.94,0.95,0.97,1,1
Noun-Adj,0.97,0.99,0.98,0.87,0.95,0.74,0.9,0.83,0.99,0.94,1,1
Pred Attr,0.97,0.97,0.98,0.82,0.83,0.81,0.85,0.85,0.98,0.97,0.99,0.99
Pass Part,0.98,0.95,0.96,0.87,0.82,0.72,0.85,0.93,0.99,0.99,0.99,0.99
Pred Compl,0.94,0.9,0.95,0.89,0.8,0.78,0.84,0.85,0.94,0.94,0.97,0.98
Pred Attr Adv-SRC,0.93,0.93,0.96,0.73,0.69,0.67,0.77,0.77,0.93,0.88,0.98,0.96
Pred Attr Adv-ORC,0.93,0.96,0.97,0.73,0.76,0.64,0.75,0.8,0.95,0.91,0.97,0.96
Pass Part Adv,0.97,0.95,0.91,0.83,0.9,0.63,0.88,0.93,0.97,0.94,0.96,0.97
Pred Compl Adv,0.47,0.55,0.55,0.61,0.42,0.37,0.47,0.6,0.57,0.68,0.78,0.7
Subj-Verb Basic,0.89,0.92,0.97,0.62,0.73,0.56,0.65,0.83,0.87,0.9,0.98,0.98
Subj-Verb SRC,0.95,0.95,0.94,0.68,0.82,0.78,0.87,0.83,0.86,0.86,0.96,0.97
Subj-Verb ORC,0.98,0.97,0.89,0.65,0.83,0.65,0.89,0.85,0.73,0.76,0.95,0.93
