ISO,Language,n,Llama3-8B,Llama3-8B-it,Llama3-tülu3,Llama3-70B,Aya-8B-it,Aya-32B-it,Gemma3-4B,Gemma3-4B-it,Gemma3-12B,Gemma3-12B-it,Gemma3-27B,Gemma3-27B-it,OLMo2-32B,OLMo2-32B-it,EuLLM-9B,GPT2-xl,GF-500M
abk,Abkhazian,40,65.0,62.5,62.5,70.0,55.0,67.5,55.0,27.5,42.5,42.5,77.5,70.0,70.0,67.5,47.5,52.5,77.5
aqz,Akuntsu,14,35.7,42.9,28.6,42.9,50.0,28.6,35.7,50.0,21.4,21.4,35.7,14.3,35.7,28.6,57.1,35.7,
sqi,Albanian,243,86.0,86.8,84.0,88.5,69.5,83.1,91.4,79.8,95.9,90.9,96.7,92.2,80.7,81.9,61.3,58.0,99.2
amh,Amharic,112,100.0,97.3,76.8,98.2,97.3,99.1,95.5,82.1,96.4,89.3,96.4,91.1,96.4,93.8,94.6,91.1,96.4
grc,Ancient_Greek,3695,86.8,86.3,85.4,90.8,78.9,87.7,77.8,64.8,85.7,73.2,87.7,79.9,91.2,90.3,87.7,64.5,88.1
hbo,Ancient_Hebrew,983,86.9,85.1,82.8,91.8,75.4,90.9,81.8,63.5,91.6,74.4,92.9,83.1,90.0,85.7,80.7,66.0,
apu,Apurinã,28,96.4,96.4,96.4,96.4,75.0,92.9,92.9,75.0,96.4,89.3,85.7,92.9,96.4,89.3,96.4,67.9,
hye,Armenian,1415,96.5,95.3,94.3,98.4,79.6,93.7,95.1,84.2,97.3,90.0,97.9,93.9,86.9,84.9,72.7,67.8,98.4
eus,Basque,273,94.1,95.2,93.0,95.2,90.8,91.2,93.4,89.0,96.0,94.1,97.1,89.4,90.1,90.5,91.6,89.4,98.9
bel,Belarusian,2570,89.2,86.6,86.5,93.1,75.1,84.6,93.4,81.0,95.2,87.6,96.9,92.3,74.7,74.4,80.5,50.4,97.3
ben,Bengali,21,90.5,95.2,100.0,95.2,71.4,95.2,95.2,90.5,95.2,90.5,95.2,85.7,81.0,85.7,85.7,47.6,100.0
bho,Bhojpuri,34,85.3,76.5,70.6,82.4,58.8,82.4,70.6,61.8,76.5,67.6,82.4,79.4,55.9,67.6,67.6,58.8,88.2
bor,Borôro,241,66.0,66.0,65.1,64.7,58.5,67.6,61.0,62.2,58.9,58.9,61.0,61.8,63.1,60.2,65.6,68.5,
bre,Breton,260,94.6,93.1,92.7,95.0,81.5,94.2,94.6,78.5,96.9,92.7,97.3,93.5,75.0,64.6,86.2,50.4,99.2
bul,Bulgarian,2458,93.6,91.3,90.4,96.0,76.4,85.5,96.8,87.9,97.8,93.9,99.2,95.8,89.7,87.8,97.6,60.7,97.2
bua,Buriat,103,68.0,67.0,66.0,73.8,70.9,69.9,71.8,68.9,70.9,67.0,77.7,70.9,67.0,66.0,68.0,68.0,91.3
