Model,WORDFORM,WORDINFL,GOVERNMENT,SUBJ-PRED-AGR,ANAPHORAGR,NPAGR,FLOAT-QUANT-AGR,REFLEXIVES,NEGATION,ARG-STRUCTURE,ASPECT,TENSE,AVERAGE
ruBERT-base,81.90,84.87,90.72,91.16,85.90,83.57,91.40,78.70,77.77,88.52,96.07,87.17,86.48
ruBERT-large,82.83,86.03,90.66,91.43,86.35,84.70,91.23,81.00,82.13,89.20,96.47,88.17,87.52
ruRoBERTa,89.67,91.63,96.68,93.62,95.60,88.83,96.17,91.10,89.83,91.64,97.20,92.40,92.86
ruGPT-small,88.53,91.57,92.94,90.33,94.30,95.33,87.63,83.20,73.17,88.82,93.93,84.30,88.67
ruGPT-medium,91.77,86.37,94.88,91.57,95.90,97.37,96.17,79.90,80.53,91.98,95.60,88.70,90.89
ruGPT-large,89.23,91.37,94.58,91.51,95.80,96.77,90.83,87.80,78.60,92.24,95.53,87.03,90.94
ruGPT-3.5-13B,94.33,95.20,97.10,96.12,97.05,98.47,98.17,94.70,87.53,96.34,97.77,95.37,95.68
SambaLingo,79.87,85.73,89.20,80.85,92.95,89.83,90.43,96.20,77.63,82.74,87.40,80.47,86.11
distil-MBERT,83.97,79.63,70.84,75.90,52.35,79.43,83.13,56.00,75.27,55.88,59.47,55.83,68.98
MBERT,88.83,84.63,78.88,80.37,86.35,87.07,82.77,52.90,66.30,61.22,59.77,52.70,73.48
XLM-Rbase,88.57,90.57,88.42,87.55,91.85,92.67,92.97,69.90,72.50,75.48,81.57,74.67,83.89
XLM-Rlarge,88.80,91.03,90.52,87.73,93.15,94.37,93.07,79.10,80.67,81.30,87.70,79.77,87.27
RemBERT,51.40,54.70,48.90,49.77,32.05,51.17,62.63,45.30,51.17,49.28,52.40,52.20,50.08
MDeBERTa,52.57,43.63,47.50,36.77,75.35,41.03,37.43,40.20,43.57,41.90,44.10,53.53,46.47
mGPT-1.3B,94.37,95.97,89.64,87.69,92.15,94.20,85.13,82.50,67.80,79.94,85.43,79.53,86.20
mGPT-13B,94.53,95.53,92.08,88.75,94.35,95.33,88.50,85.60,68.27,84.46,87.70,83.03,88.18
bloom-1b7,86.10,89.70,67.86,85.55,69.75,79.10,66.87,13.10,65.20,53.78,54.67,68.87,66.71
bloom-3b,89.53,90.23,71.44,86.66,65.85,81.10,68.33,19.30,67.83,54.22,51.13,72.30,68.16
bloom-7b1,88.90,91.87,73.62,88.91,73.10,84.63,75.37,23.30,68.40,57.64,55.07,77.43,71.52
xglm-1.7B,37.70,45.03,51.72,44.26,65.70,61.57,47.23,64.10,54.63,38.20,75.27,51.93,53.11
xglm-4.5B,92.40,92.17,87.96,82.70,92.80,92.70,91.30,82.90,73.97,82.62,90.47,80.57,86.88
xglm-7.5B,92.80,93.43,88.46,83.75,93.45,93.70,91.03,90.80,74.43,83.12,90.27,82.37,88.13
Llama-7b,94.70,90.83,85.20,89.45,48.35,89.23,72.10,84.80,72.40,79.96,81.20,81.93,80.85
Llama-13b,95.83,93.50,88.50,91.23,56.00,91.53,76.97,89.00,74.00,83.08,85.50,85.63,84.23
Mistral,96.87,95.00,88.16,92.99,72.10,93.20,87.83,32.40,72.40,83.28,86.60,88.13,82.41
Human,100.0,99.33,98.80,98.53,98.0,98.67,99.33,98.00,100.0,100.0,100.0,99.33,98.62
