Phenomenon,Zh-Pythia-14M,Zh-Pythia-160M,Zh-Pythia-1.4B,Qwen2.5-0.5B,Qwen2.5-32B,InternLM2.5-1.8B,InternLM2.5-20B,Yi1.5-6B,Yi1.5-9B,Gemma2-2B,Gemma2-9B,Diff.,Human
BA,75.1,83.9,86.1,79.1,85.4,79.9,84.9,87.0,87.5,81.7,83.4,-8.7,96.2
ANAPHORA,43.6,39.9,56.4,55.2,63.4,53.8,60.7,59.9,57.4,52.9,55.9,-22.2,85.6
ARG. STRUCTURE,65.1,75.5,77.5,84.0,83.5,85.5,86.5,86.6,86.4,76.8,76.7,-9.3,95.9
CLASSIFIER,48.6,71.4,79.3,67.1,72.7,68.0,76.8,88.9,89.7,70.8,72.9,-4.3,94.0
CONTROL RAISING,82.7,92.8,94.2,83.2,90.8,82.3,86.2,89.9,89.7,91.6,94.4,-0.1,94.5
ELLIPSIS,34.9,46.5,50.9,51.1,54.1,50.0,52.8,49.1,48.8,53.1,54.3,-37.8,92.1
FCI LICENSING,71.6,86.8,91.3,78.0,85.0,69.5,75.9,76.1,71.4,61.0,61.5,-7.3,98.6
NOMINAL EXP.,58.1,70.5,72.8,78.9,78.9,64.7,73.6,73.6,74.0,73.4,73.5,-13.4,92.3
NPI LICENSING,53.4,72.0,81.8,68.0,73.7,72.0,74.8,69.1,70.6,68.5,69.0,-11.5,93.3
PASSIVE,67.9,80.5,80.6,86.4,88.1,78.0,83.8,85.4,86.3,82.8,81.6,-6.9,95.0
QUANTIFIERS,51.4,50.9,49.9,31.5,71.2,43.5,69.0,66.7,69.5,47.7,47.8,-25.2,96.4
QUESTION,77.0,92.1,92.0,88.3,86.8,81.3,85.3,84.5,85.5,84.8,83.3,-5.4,97.5
RELATIVIZATION,85.1,89.3,93.0,80.5,90.4,84.7,85.1,91.1,90.6,83.6,83.8,2.8,90.2
TOPICALIZATION,91.9,86.4,88.2,93.2,89.2,80.0,82.5,89.5,93.1,85.2,88.2,-4.3,97.5
VERB PHRASE,89.8,94.7,94.0,92.1,90.6,88.8,87.7,92.8,92.7,92.2,92.9,0.8,93.9
OVERALL,69.9,80.3,83.0,80.0,82.9,76.1,80.5,81.7,81.9,78.1,78.5,-11.6,94.6
